,Destination,Price(€),Date,Airline Company,Departure Time,Connection,Class
240,Tel Aviv,337,Tue 21 Mar,Ryanair,1620,1 stop,Economy
241,Manila,337,Tue 29 Nov,Ryanair,11551,1 stop,Economy
242,Tel Aviv,3371,Sat 18 Mar,Ryanair,1620,1 stop,Economy
243,Manila,337,Sat 11 Mar,Ryanair,11551,1 stop,Economy
244,Tel Aviv,3371,Tue 7 Mar,Ryanair,1620,1 stop,Economy
245,Manila,337,Tue 14 Mar,Ryanair,11551,1 stop,Economy
246,Tel Aviv,337,Tue 28 Feb,Ryanair,1620,1 stop,Economy
247,Manila,337,Thu 23 Mar,Ryanair,11551,1 stop,Economy
248,Tel Aviv,337,Sat 4 Mar,easyJet,1620,1 stop,Economy
249,Manila,337,Tue 24 Jan,Ryanair,11551,1 stop,Economy
250,Tel Aviv,337,Sat 28 Jan,Ryanair,1620,1 stop,Economy
251,Manila,337,Tue 7 Feb,easyJet,11551,1 stop,Economy
252,Tel Aviv,338,Tue 22 Nov,Vueling,1620,1 stop,Economy
253,Manila,338,Thu 9 Mar,easyJet,11551,1 stop,Economy
254,Tel Aviv,344,Thu 23 Feb,Ryanair,1620,1 stop,Economy
255,Manila,344,Tue 14 Feb,easyJet,11551,2 stops,Economy
256,Tel Aviv,345,Thu 16 Mar,Vueling,1620,2 stops,Economy
257,Manila,345,Fri 17 Mar,Arkia,11551,2 stops,Economy
258,Tel Aviv,345,Mon 6 Mar,Cebu Pacific,1620,2 stops,Economy
259,Manila,345,Fri 3 Mar,Arkia,11551,2 stops,Economy
260,Tel Aviv,2821,Wed 15 Feb,Cebu Pacific,0520,2 stops,Economy
261,Manila,282,Wed 22 Mar,Arkia,14101,2 stops,Economy
262,Tel Aviv,2882,Sat 19 Nov,Cebu Pacific,0520,2 stops,Economy
263,Manila,288,Tue 15 Nov,Arkia,14101,2 stops,Economy
264,Tel Aviv,383,Wed 8 Mar,Cebu Pacific,1300,2 stops,Economy
265,Manila,383,Mon 28 Nov,Arkia,11551,2 stops,Economy
266,Tel Aviv,3832,Tue 21 Feb,Cebu Pacific,1300,2 stops,Economy
267,Manila,383,Tue 14 Mar,Arkia,11551,2 stops,Economy
268,Tel Aviv,3831,Tue 29 Nov,Cebu Pacific,1300,2 stops,Economy
269,Manila,383,Tue 21 Mar,Arkia,11551,2 stops,Economy
270,Tel Aviv,3832,Sat 18 Feb,Cebu Pacific,1300,2 stops,Economy
271,Manila,383,Tue 6 Dec,Arkia,11551,2 stops,Economy
272,Tel Aviv,383,Tue 7 Mar,Cebu Pacific,1300,2 stops,Economy
273,Manila,383,Sat 18 Mar,Arkia,11551,2 stops,Economy
274,Tel Aviv,390,Sat 11 Mar,Cebu Pacific,1300,2 stops,Economy
275,Manila,390,Tue 28 Feb,Arkia,11551,2 stops,Economy
276,Tel Aviv,3901,Tue 22 Nov,Cebu Pacific,1300,2 stops,Economy
277,Manila,390,Thu 23 Mar,Aegean,11551,2 stops,Economy
278,Tel Aviv,391,Tue 21 Feb,Scoot,1300,2 stops,Economy
279,Manila,391,Sat 4 Mar,Cebu Pacific,11551,2 stops,Economy
280,Tel Aviv,3951,Sat 18 Mar,Aegean,1755,2 stops,Economy
281,Manila,395,Tue 29 Nov,Scoot,15551,2 stops,Economy
282,Tel Aviv,397,Sat 18 Feb,Cebu Pacific,1300,2 stops,Economy
283,Manila,397,Tue 21 Feb,El Al Israel Airlines,11551,2 stops,Economy
284,Tel Aviv,3971,Sat 11 Mar,Cebu Pacific,1300,Direct,Economy
285,Manila,397,Tue 21 Mar,El Al Israel Airlines,11551,Direct,Economy
286,Tel Aviv,398,Sat 18 Feb,Cebu Pacific,1300,Direct,Economy
287,Manila,398,Tue 15 Nov,El Al Israel Airlines,11551,Direct,Economy
288,Tel Aviv,402,Tue 24 Jan,Cebu Pacific,1755,Direct,Economy
289,Manila,402,Tue 7 Feb,El Al Israel Airlines,15551,Direct,Economy
290,Tel Aviv,4061,Tue 28 Feb,Cebu Pacific,1300,Direct,Economy
291,Manila,406,Sat 28 Jan,El Al Israel Airlines,11551,Direct,Economy
292,Tel Aviv,406,Tue 1 Nov,Cebu Pacific,1300,Direct,Economy
293,Manila,406,Thu 23 Feb,El Al Israel Airlines,11551,Direct,Economy
294,Tel Aviv,271,Sat 11 Mar,Cebu Pacific,2145,Direct,Economy
295,London,27,Mon 24 Oct,El Al Israel Airlines,01051,Direct,Economy
296,Tel Aviv,381,Fri 21 Oct,Cebu Pacific,1810,Direct,Economy
297,London,38,Mon 17 Oct,El Al Israel Airlines,2145,Direct,Economy
298,Tel Aviv,411,Fri 26 Aug,Cebu Pacific,1935,Direct,Economy
299,London,41,Mon 29 Aug,Arkia,2310,Direct,Economy
300,Tel Aviv,411,Fri 14 Oct,Cebu Pacific,1810,Direct,Economy
301,London,41,Mon 12 Sep,El Al Israel Airlines,2145,1 stop,Economy
302,Tel Aviv,411,Fri 16 Sep,Cebu Pacific,1810,1 stop,Economy
303,London,41,Mon 5 Sep,El Al Israel Airlines,2145,1 stop,Economy
304,Tel Aviv,43,Fri 14 Oct,Cebu Pacific,2145,1 stop,Economy
305,London,43,Fri 9 Sep,El Al Israel Airlines,01051,1 stop,Economy
306,Tel Aviv,42,Mon 22 Aug,Cebu Pacific,1515,1 stop,Economy
307,London,42,Mon 25 Jul,Arkia,1850,1 stop,Economy
308,Tel Aviv,42,Mon 8 Aug,Cebu Pacific,1810,1 stop,Economy
309,London,42,Fri 16 Sep,El Al Israel Airlines,2145,1 stop,Economy
310,Tel Aviv,42,Fri 22 Jul,Cebu Pacific,1515,1 stop,Economy
311,London,42,Mon 11 Jul,El Al Israel Airlines,1850,1 stop,Economy
312,Tel Aviv,43,Sat 11 Feb,Cebu Pacific,1515,1 stop,Economy
313,London,43,Sat 18 Feb,Wizz Air UK,1850,1 stop,Economy
314,Tel Aviv,43,Mon 13 Feb,easyJet,2050,1 stop,Economy
315,London,43,Tue 7 Feb,easyJet,00251,1 stop,Economy
316,Tel Aviv,431,Tue 28 Mar,easyJet,1810,1 stop,Economy
317,London,43,Wed 29 Mar,easyJet,2145,1 stop,Economy
318,Tel Aviv,43,Fri 31 Mar,Wizz Air UK,1515,1 stop,Economy
319,London,43,Thu 30 Mar,easyJet,1850,1 stop,Economy
320,Tel Aviv,43,Sat 20 May,easyJet,1515,1 stop,Economy
321,London,43,Fri 19 May,easyJet,1850,1 stop,Economy
322,Tel Aviv,43,Sun 21 May,easyJet,1515,1 stop,Economy
323,London,43,Sat 28 Jan,easyJet,1850,1 stop,Economy
324,Tel Aviv,43,Sat 21 Jan,easyJet,1515,1 stop,Economy
325,London,43,Sun 26 Feb,easyJet,1850,1 stop,Economy
326,Tel Aviv,44,Sun 15 Jan,easyJet,1915,1 stop,Economy
327,London,44,Sat 4 Mar,easyJet,2250,1 stop,Economy
328,Tel Aviv,44,Mon 6 Mar,easyJet,1515,1 stop,Economy
329,London,44,Fri 10 Mar,easyJet,1850,1 stop,Economy
330,Tel Aviv,44,Tue 14 Feb,easyJet,2050,1 stop,Economy
331,London,44,Mon 23 Jan,easyJet,00251,1 stop,Economy
332,Tel Aviv,44,Tue 7 Feb,easyJet,1515,1 stop,Economy
333,London,44,Mon 13 Feb,easyJet,1850,1 stop,Economy
334,Tel Aviv,44,Sat 19 Nov,easyJet,1515,1 stop,Economy
335,London,44,Fri 2 Dec,easyJet,1850,1 stop,Economy
336,Tel Aviv,452,Tue 29 Nov,Wizz Air UK,1915,1 stop,Economy
337,London,45,Mon 21 Nov,Wizz Air UK,2250,1 stop,Economy
338,Tel Aviv,453,Tue 22 Nov,Wizz Air UK,1935,1 stop,Economy
339,London,45,Sat 3 Dec,Wizz Air UK,2310,1 stop,Economy
340,Tel Aviv,48,Sat 12 Nov,easyJet,2155,1 stop,Economy
341,London,48,Sun 13 Nov,easyJet,01251,1 stop,Economy
342,Tel Aviv,541,Mon 7 Nov,easyJet,2205,1 stop,Economy
343,London,54,Thu 1 Dec,Wizz Air,01251,1 stop,Economy
